generation,evaluations,best_fitness,mean_fitness,mean_modules,variant,seed
1,200,15.972458299147444,19.096251244141605,19.1,Tournament selection,42
2,300,15.701428280002318,17.194219819222695,12.11,Tournament selection,42
3,400,15.315587038162704,16.26102384089276,10.9,Tournament selection,42
4,500,15.004834939252005,15.768658769594792,10.67,Tournament selection,42
5,600,14.64575131106459,15.44395014899955,10.39,Tournament selection,42
6,700,14.387467277262664,15.163503845255937,10.61,Tournament selection,42
7,800,14.122611077089289,14.991690139177791,11.25,Tournament selection,42
8,899,14.122611077089289,14.82554021907973,11.39,Tournament selection,42
9,999,13.877902338672774,14.574551832229456,11.39,Tournament selection,42
10,1099,13.877902338672774,14.350335614865262,11.1,Tournament selection,42
11,1199,13.7,14.2241760001865,11.2,Tournament selection,42
12,1299,13.507130750570548,14.096775831053774,10.98,Tournament selection,42
13,1399,13.507130750570548,14.025193531197674,10.96,Tournament selection,42
14,1499,13.507130750570548,13.94818282135194,11.02,Tournament selection,42
15,1599,13.507130750570548,13.85850349147356,10.94,Tournament selection,42
16,1699,13.18679622641132,13.803688966201491,10.91,Tournament selection,42
17,1799,13.055294535724686,13.764042976161836,10.85,Tournament selection,42
18,1899,13.055294535724686,13.709075398411668,10.99,Tournament selection,42
19,1999,13.055294535724686,13.63086414038939,11.1,Tournament selection,42
20,2099,13.055294535724686,13.5771536240857,11.22,Tournament selection,42
21,2199,13.055294535724686,13.523459856984568,11.32,Tournament selection,42
22,2299,12.86287388383278,13.46336634966919,11.47,Tournament selection,42
23,2399,12.86287388383278,13.375887580509543,11.66,Tournament selection,42
24,2499,12.7295630140987,13.284194635877476,11.93,Tournament selection,42
25,2599,12.7295630140987,13.231712217232236,12.1,Tournament selection,42
26,2699,12.548808848170152,13.14899710326834,12.25,Tournament selection,42
27,2799,12.512403840463596,13.070767646744052,12.37,Tournament selection,42
28,2899,12.467707825203131,13.006376855852809,12.56,Tournament selection,42
29,2999,12.467707825203131,12.9463262899075,12.57,Tournament selection,42
30,3099,12.467707825203131,12.918214510366225,12.58,Tournament selection,42
31,3199,12.467707825203131,12.870540120279662,12.68,Tournament selection,42
32,3299,12.467707825203131,12.82705946104216,12.75,Tournament selection,42
33,3399,12.467707825203131,12.78781941702486,12.85,Tournament selection,42
34,3499,12.467707825203131,12.75309846096885,12.9,Tournament selection,42
35,3599,12.467707825203131,12.73759642934931,12.92,Tournament selection,42
36,3699,12.467707825203131,12.71203247406678,12.93,Tournament selection,42
37,3799,12.274596669241484,12.684587634368832,13.0,Tournament selection,42
38,3899,12.274596669241484,12.659730173788317,12.98,Tournament selection,42
39,3999,12.274596669241484,12.619608658689849,12.95,Tournament selection,42
40,4099,12.274596669241484,12.599170055499592,12.97,Tournament selection,42
41,4199,12.274596669241484,12.58324919742857,13.0,Tournament selection,42
42,4299,12.274596669241484,12.538234374766176,13.0,Tournament selection,42
43,4399,12.274596669241484,12.51744562685723,13.01,Tournament selection,42
44,4499,12.274596669241484,12.48840702490167,13.01,Tournament selection,42
45,4599,12.274596669241484,12.469305414100331,13.0,Tournament selection,42
46,4699,12.274596669241484,12.460193379304885,13.0,Tournament selection,42
47,4799,12.274596669241484,12.45179649536939,13.0,Tournament selection,42
48,4899,12.209901951359278,12.437550880914833,13.0,Tournament selection,42
49,4999,12.209901951359278,12.430412552800272,13.0,Tournament selection,42
50,5099,12.2,12.412044370957885,13.0,Tournament selection,42
51,5199,12.2,12.400546295565732,13.0,Tournament selection,42
52,5299,12.2,12.38678308490097,13.0,Tournament selection,42
53,5399,12.2,12.377104308281698,13.0,Tournament selection,42
54,5499,12.2,12.373284946506896,13.0,Tournament selection,42
55,5599,12.2,12.37178755890552,13.0,Tournament selection,42
56,5699,12.2,12.366964969728071,13.0,Tournament selection,42
57,5799,12.2,12.35298726059932,13.0,Tournament selection,42
58,5899,12.089897948556636,12.335954065036445,13.0,Tournament selection,42
59,5999,12.089897948556636,12.32581245878746,13.0,Tournament selection,42
60,6099,12.089897948556636,12.31401778540897,13.0,Tournament selection,42
61,6199,12.089897948556636,12.30264183158783,13.0,Tournament selection,42
62,6299,12.089897948556636,12.29251151061432,13.0,Tournament selection,42
63,6399,12.089897948556636,12.287354388107078,13.0,Tournament selection,42
64,6499,12.089897948556636,12.272565258569644,13.0,Tournament selection,42
65,6599,12.089897948556636,12.258447216884546,13.0,Tournament selection,42
66,6699,12.089897948556636,12.251890210624415,13.0,Tournament selection,42
67,6799,12.089897948556636,12.243091670062135,13.0,Tournament selection,42
68,6899,12.089897948556636,12.227386286579351,13.0,Tournament selection,42
69,6999,12.089897948556636,12.21897743531445,13.0,Tournament selection,42
70,7099,12.089897948556636,12.21087743501806,13.0,Tournament selection,42
71,7199,12.089897948556636,12.203675491907529,13.0,Tournament selection,42
72,7299,12.089897948556636,12.191005875781618,13.0,Tournament selection,42
