generation,evaluations,mean_parent_fitness,variant,seed
1,100,19.745599395783184,Tournament selection,42
2,200,17.54767417206023,Tournament selection,42
3,300,16.5223255885472,Tournament selection,42
4,400,16.10052642967092,Tournament selection,42
5,500,15.726869376936818,Tournament selection,42
6,600,15.538322546301696,Tournament selection,42
7,700,15.287451006463508,Tournament selection,42
8,800,15.117490170592626,Tournament selection,42
9,900,14.954035307506274,Tournament selection,42
10,1000,14.927624896555711,Tournament selection,42
11,1100,14.788713628452664,Tournament selection,42
12,1200,14.726949505508257,Tournament selection,42
13,1300,14.64333981348496,Tournament selection,42
14,1400,14.633386670462333,Tournament selection,42
15,1500,14.60323037269448,Tournament selection,42
16,1600,14.484519933376465,Tournament selection,42
17,1700,14.414321364844293,Tournament selection,42
18,1800,14.518997587860753,Tournament selection,42
19,1900,14.429132040179235,Tournament selection,42
20,2000,14.48446769096339,Tournament selection,42
21,2100,14.330543592585787,Tournament selection,42
22,2200,14.333340413232667,Tournament selection,42
23,2300,14.402282499075543,Tournament selection,42
24,2400,14.300251670141416,Tournament selection,42
25,2500,14.07288162506967,Tournament selection,42
26,2600,14.060012371774354,Tournament selection,42
27,2700,14.231928338506544,Tournament selection,42
28,2800,14.380679213255204,Tournament selection,42
29,2900,14.088399572756078,Tournament selection,42
30,3000,14.07996089397505,Tournament selection,42
31,3100,14.05703065553504,Tournament selection,42
32,3200,14.048829083609087,Tournament selection,42
33,3300,14.035849711190991,Tournament selection,42
34,3400,13.88916834613993,Tournament selection,42
35,3500,13.965284437719774,Tournament selection,42
36,3600,13.931451753602932,Tournament selection,42
37,3700,13.911553204324402,Tournament selection,42
38,3800,13.979862007185478,Tournament selection,42
39,3900,13.804401962946816,Tournament selection,42
40,4000,13.89201656809745,Tournament selection,42
41,4100,14.025601249262245,Tournament selection,42
42,4200,13.991980156920864,Tournament selection,42
43,4300,13.82663240282768,Tournament selection,42
44,4400,13.752729141270374,Tournament selection,42
45,4500,13.517966238950176,Tournament selection,42
46,4600,13.524814234985332,Tournament selection,42
47,4700,13.561622529768746,Tournament selection,42
48,4800,13.619100892244438,Tournament selection,42
49,4900,13.592887044177097,Tournament selection,42
50,5000,13.632955697047416,Tournament selection,42
51,5100,13.707868098291051,Tournament selection,42
52,5200,13.677485382311156,Tournament selection,42
53,5300,13.83561324430217,Tournament selection,42
54,5400,13.87956663879758,Tournament selection,42
55,5500,13.942051469596738,Tournament selection,42
56,5600,13.997496873988354,Tournament selection,42
57,5700,13.93710111786442,Tournament selection,42
58,5800,13.66705120535668,Tournament selection,42
59,5900,13.64244208767803,Tournament selection,42
60,6000,13.552466508569248,Tournament selection,42
61,6100,13.657480879626046,Tournament selection,42
62,6200,13.759639842234773,Tournament selection,42
63,6300,13.581798020808648,Tournament selection,42
64,6400,13.528819545798497,Tournament selection,42
65,6500,13.59996818273316,Tournament selection,42
66,6600,13.6339883591445,Tournament selection,42
67,6700,13.571027381506088,Tournament selection,42
68,6800,13.688906373734891,Tournament selection,42
69,6900,13.648468347388464,Tournament selection,42
