generation,evaluations,best_fitness,mean_fitness,mean_modules
1,200,15.584250278036869,18.620483003825562,18.01
2,300,15.020897306865447,16.90850531102384,11.66
3,400,14.881742422927143,16.18392313315551,8.57
4,500,14.597999199359359,15.7573227841407,9.06
5,600,14.481488772222677,15.653766500808057,9.6
6,700,14.481488772222677,15.5991304408655,9.89
7,800,14.281934729198172,15.44096252482381,10.25
8,900,13.85870331449229,15.221075611690496,10.37
9,1000,13.85870331449229,15.259538926608636,10.99
10,1100,13.85870331449229,15.191746877992905,10.64
11,1200,13.85870331449229,15.164311284127882,10.21
12,1300,13.85870331449229,15.081539154520183,10.3
13,1400,13.73606797749979,15.161576223257375,10.02
14,1500,13.73606797749979,15.097418577024255,10.02
15,1600,13.73606797749979,15.044265374785063,9.77
16,1700,13.683266665599966,14.949498064405379,10.27
17,1800,13.683266665599966,14.92325689812425,10.08
18,1900,13.683266665599966,14.919602937627019,10.1
19,2000,13.683266665599966,14.897420659295024,10.32
20,2100,13.660107523773828,14.861353125201493,10.32
21,2200,13.660107523773828,14.885644974052552,10.28
22,2300,13.660107523773828,14.933954200658873,10.1
23,2400,13.660107523773828,14.895932555202894,10.53
24,2500,13.660107523773828,15.011778980813538,10.19
25,2600,13.660107523773828,14.920971482859711,10.18
26,2700,13.660107523773828,14.819127698765225,10.54
27,2800,13.660107523773828,14.835214627469947,10.47
28,2900,13.660107523773828,14.776610944341694,10.29
29,3000,13.6131126469709,14.85665935457682,10.23
30,3100,13.6131126469709,14.792447178158017,10.34
31,3200,13.6131126469709,14.823569554787825,10.58
32,3300,13.6131126469709,14.836458335627649,10.86
33,3400,13.6131126469709,14.841742007313208,10.37
34,3500,13.6131126469709,14.843917472994704,9.85
35,3600,13.6131126469709,14.68155594929841,10.64
36,3700,13.6131126469709,14.79407727003056,10.26
37,3800,13.6131126469709,14.852741342799439,10.35
38,3900,13.6131126469709,14.947391894249646,10.39
39,4000,13.6131126469709,14.670456083340145,10.67
40,4100,13.6131126469709,14.77204829123295,10.51
41,4200,13.160107523773828,14.780443835350242,10.5
42,4300,13.160107523773828,14.790487735065513,10.2
43,4400,13.1431676725155,14.650564458746429,10.41
44,4500,13.1431676725155,14.570041169213594,10.81
45,4600,13.133030277982337,14.490594670894275,10.87
46,4700,13.133030277982337,14.27882027772181,11.04
47,4800,13.133030277982337,14.382356087930201,10.99
48,4900,13.133030277982337,14.336444558664832,11.61
49,5000,13.133030277982337,14.541211343652929,10.63
50,5100,13.133030277982337,14.590572992699688,10.62
51,5200,13.133030277982337,14.511073840771335,11.26
52,5300,13.133030277982337,14.471695702654774,11.04
53,5400,13.133030277982337,14.439813826966393,11.0
54,5500,13.133030277982337,14.55108711525502,11.2
55,5600,13.11245154965971,14.550101257995909,11.58
56,5700,13.11245154965971,14.455123788918943,10.9
57,5800,13.11245154965971,14.458198902079673,10.94
58,5900,13.11245154965971,14.47926469267561,11.33
59,6000,13.11245154965971,14.476119817846893,11.3
60,6100,13.11245154965971,14.559398348956684,10.86
61,6200,13.11245154965971,14.496237665832753,11.4
62,6300,13.11245154965971,14.560135258404712,11.4
63,6400,13.11245154965971,14.490408564769446,11.54
64,6500,13.11245154965971,14.551571398814081,11.14
65,6600,12.929705854077836,14.48092391858581,11.19
66,6700,12.929705854077836,14.40138627012972,10.94
67,6800,12.929705854077836,14.50242275600718,11.18
68,6900,12.929705854077836,14.500547781473065,11.57
69,7000,12.929705854077836,14.503049536956645,11.66
70,7100,12.929705854077836,14.357092701711156,11.59
71,7200,12.929705854077836,14.462685064466525,10.73
72,7300,12.929705854077836,14.534223086248339,11.09
73,7400,12.929705854077836,14.455766130009046,11.51
74,7500,12.929705854077836,14.395393917430551,11.84
75,7600,12.929705854077836,14.227760548505259,12.37
76,7700,12.929705854077836,14.305564496579288,11.81
77,7800,12.929705854077836,14.400790241659697,11.97
78,7900,12.929705854077836,14.364456325193608,11.74
79,8000,12.868438714135813,14.375144433639866,11.64
80,8100,12.803329637837292,14.359191320928332,12.03
81,8200,12.803329637837292,14.209915487262931,12.23
82,8300,12.769693845669908,14.269139316662883,12.18
83,8400,12.769693845669908,14.170071623517726,12.03
84,8500,12.769693845669908,14.469837378820866,11.89
85,8600,12.769693845669908,14.539435898787286,11.14
86,8700,12.769693845669908,14.456249402433606,11.65
87,8800,12.769693845669908,14.47549268135872,11.81
88,8900,12.769693845669908,14.454545246308792,11.96
89,9000,12.508304597359459,14.446982138870974,12.0
90,9100,12.508304597359459,14.084321515336454,12.1
91,9200,12.508304597359459,14.147923686787612,11.79
92,9300,12.508304597359459,14.16838341960076,11.84
93,9400,12.508304597359459,14.050063942593333,11.49
94,9500,12.508304597359459,14.225514418943087,12.03
95,9600,12.508304597359459,14.246485593163236,11.57
96,9700,12.508304597359459,14.294455332293635,11.91
97,9800,12.508304597359459,14.162843072146819,12.09
98,9900,12.508304597359459,13.968707671906849,11.84
99,10000,12.449137674618944,13.94896356764443,12.25
100,10100,12.380624847486569,13.859160878520395,12.43
