generation,evaluations,mean_parent_fitness
1,100,19.644659657516705
2,200,16.758979503500992
3,300,15.721694608115502
4,400,15.32224536622667
5,500,14.910784297009556
6,600,14.746812392419391
7,700,14.506593576520538
8,800,14.486319085758868
9,900,14.44436992906557
10,1000,14.247429041244578
11,1100,14.315989624985917
12,1200,14.302178578727382
13,1300,14.227088463920927
14,1400,14.10702142765916
15,1500,14.188830921352906
16,1600,14.200913812928528
17,1700,14.113304028840284
18,1800,14.084817723603583
19,1900,14.140337586741634
20,2000,14.027003470998178
21,2100,14.068288736292903
22,2200,14.118144419222627
23,2300,14.098864823602929
24,2400,14.132312229725994
25,2500,13.974607489219522
26,2600,13.90782726028949
27,2700,13.851975632297558
28,2800,13.774840426378622
29,2900,13.852931860088663
30,3000,13.852720129454047
31,3100,13.91219796068149
32,3200,13.993197529169226
33,3300,13.841439170818703
34,3400,13.892538633557573
35,3500,13.93722729087455
36,3600,13.87921781320767
37,3700,13.81291242913095
38,3800,13.794704242617547
39,3900,13.875266583418565
40,4000,13.685403752340344
41,4100,13.62394939171403
42,4200,13.598762680417419
43,4300,13.485412509928716
44,4400,13.3437784109013
45,4500,13.250083676500015
46,4600,13.305981962273941
47,4700,13.393525027810625
48,4800,13.423952855075253
49,4900,13.327209272904906
50,5000,13.284922056120369
51,5100,13.241526347700955
52,5200,13.40757426318451
53,5300,13.246599680488771
54,5400,13.267480124205955
55,5500,13.180111116673885
56,5600,13.23914070952049
57,5700,13.195179678464536
58,5800,13.209322462802586
59,5900,13.298320947831906
60,6000,13.269421607574731
61,6100,13.215509703721741
62,6200,13.105472704004232
63,6300,13.18582600090915
64,6400,13.097458368281512
65,6500,13.136109213908039
66,6600,13.247459259370023
67,6700,13.326804561663106
68,6800,13.214580632697338
69,6900,13.403606684320385
70,7000,13.450474861593866
71,7100,13.331527856891393
72,7200,13.285057262060125
73,7300,13.269960164668532
74,7400,13.255088374028825
75,7500,13.137004412896255
76,7600,13.127689252389507
77,7700,13.131167413554016
78,7800,13.330911292304597
79,7900,13.362514618969263
80,8000,13.406204915235488
81,8100,13.487437413885221
82,8200,13.430669157261983
83,8300,13.403726531836009
84,8400,13.414226239886307
85,8500,13.352000113993824
86,8600,13.268582084709246
87,8700,13.3055194788845
88,8800,13.394165126631211
89,8900,13.300966354608883
90,9000,13.203365443315011
91,9100,13.183646823974334
92,9200,13.17675858589634
93,9300,13.140570145393133
94,9400,13.20275758689759
95,9500,13.190238035605352
96,9600,13.251452244477997
97,9700,13.330410715544124
98,9800,13.18674071372422
99,9900,13.139190888527756
100,10000,13.14927683732038
