generation,evaluations,mean_parent_fitness
1,100,20.566501723201476
2,200,18.519708662687254
3,300,17.955402317257665
4,400,17.497448261403893
5,500,16.598888590693118
6,600,16.353817015437286
7,700,16.30047587501762
8,800,16.134818396329763
9,900,15.890231739103594
10,1000,15.829933941410903
11,1100,16.145446869929856
12,1200,16.22217042653667
13,1300,16.017669021901607
14,1400,15.94157884394078
15,1500,15.743876939635976
16,1600,16.013654794367
17,1700,15.970161812605733
18,1800,15.772425326500414
19,1900,15.781757947497923
20,2000,15.797879872392059
21,2100,15.947637664286612
22,2200,15.885253152562223
23,2300,15.618235988125779
24,2400,15.46104377172848
25,2500,15.323633456784615
26,2600,15.408755638727603
27,2700,15.298959132002727
28,2800,15.243707054971196
29,2900,15.23885858136806
30,3000,15.488390814980155
31,3100,15.428312768172322
32,3200,15.49714053018522
33,3300,15.539691443014547
34,3400,15.478689742576211
35,3500,15.217496173915865
36,3600,14.902801543891835
37,3700,14.819782776416456
38,3800,15.061807582100254
39,3900,14.66567679781254
40,4000,14.676960485282967
41,4100,14.662557707242508
42,4200,14.637126142148398
43,4300,14.898889868886139
44,4400,14.835802516809622
45,4500,14.7455465892269
46,4600,14.725211243140716
47,4700,14.635593705906928
48,4800,14.907579637144593
49,4900,14.611078721494527
50,5000,14.901157494396113
51,5100,15.236576990808189
52,5200,15.274342477731434
53,5300,15.51517239974954
54,5400,15.391580673771449
55,5500,15.217003486165321
56,5600,15.409815726396985
57,5700,15.181914462210068
58,5800,15.301416994091989
59,5900,15.117754752916465
60,6000,14.916411683472571
61,6100,14.756640190496592
62,6200,15.051372683368495
63,6300,14.877282159747466
64,6400,15.023470338838028
65,6500,14.958397196614337
66,6600,14.633051344263233
67,6700,15.001539971669379
68,6800,14.904137768436263
69,6900,14.893302306996855
70,7000,14.496491235914217
71,7100,14.671669707838173
72,7200,14.868429945960736
73,7300,14.827491508920398
74,7400,14.518188352963538
75,7500,14.574069625630116
76,7600,14.62363151017197
77,7700,14.549187245156947
78,7800,14.791389208142181
79,7900,14.585506544489153
80,8000,14.863680273864466
81,8100,14.826787441400654
82,8200,14.658378061312401
83,8300,14.835318897264145
84,8400,14.512466282185844
85,8500,14.556340941568081
86,8600,14.621629271352003
87,8700,14.489908523136226
88,8800,14.57021203144042
89,8900,14.678316942010998
90,9000,14.873172532802405
91,9100,14.55696754851905
92,9200,14.366848966840411
93,9300,14.368483192767485
94,9400,14.766092745574468
95,9500,14.639835353077933
96,9600,14.454944378390422
97,9700,14.69200497528002
98,9800,14.60445244413847
99,9900,14.45366569049773
100,10000,14.602992274308377
