generation,evaluations,best_fitness,mean_fitness,mean_modules
1,200,15.455133376499415,19.440492554445747,19.79
2,300,15.301514803843835,17.83518678618452,16.73
3,400,15.301514803843835,16.681879098413514,13.21
4,500,15.268438714135812,16.056216308399122,11.93
5,600,14.86397674405503,15.744804313516624,12.03
6,700,13.95472369909914,15.471243584984641,12.48
7,800,13.816590212458495,15.123787285900374,13.89
8,900,13.755294535724685,14.749385654129746,14.03
9,1000,13.755294535724685,14.377140313126073,13.49
10,1100,13.7295630140987,14.166038540559638,13.37
11,1200,13.7295630140987,14.073383505210892,13.14
12,1300,13.508304597359459,13.983063583090125,13.13
13,1400,13.213552872566003,13.933507759224662,13.1
14,1500,13.207106781186548,13.872872014680388,13.25
15,1600,13.207106781186548,13.808466415750438,13.18
16,1700,13.207106781186548,13.752996427973885,13.35
17,1800,13.18309518948453,13.68434013141225,13.59
18,1900,12.978232998312528,13.61039391367719,13.75
19,2000,12.774165738677395,13.523730658309773,13.95
20,2100,12.774165738677395,13.459524968945095,14.01
21,2200,12.774165738677395,13.395341359737088,14.09
22,2300,12.774165738677395,13.345820209927629,14.33
23,2400,12.774165738677395,13.304231615221216,14.33
24,2500,12.774165738677395,13.252769768853964,14.47
25,2600,12.774165738677395,13.210208199672847,14.45
26,2700,12.774165738677395,13.161742038726237,14.47
27,2800,12.774165738677395,13.127574169089955,14.5
28,2900,12.774165738677395,13.092495842627775,14.54
29,3000,12.76332495807108,13.058410389999683,14.68
30,3100,12.76332495807108,13.016484504072336,14.5
31,3200,12.76332495807108,12.988366133112127,14.49
32,3300,12.68309518948453,12.969147235228618,14.49
33,3400,12.68309518948453,12.953425191407543,14.46
34,3500,12.68309518948453,12.94465555303311,14.5
35,3600,12.68309518948453,12.935075373086793,14.55
36,3700,12.68309518948453,12.913466450167633,14.46
37,3800,12.68309518948453,12.898095517637453,14.39
38,3900,12.68309518948453,12.885696697207194,14.31
39,4000,12.68309518948453,12.877335368851522,14.25
40,4100,12.68309518948453,12.865896767735062,14.28
41,4200,12.68309518948453,12.855530262052065,14.34
42,4300,12.68309518948453,12.851440634418777,14.37
43,4400,12.632455532033676,12.832531641206444,14.48
44,4500,12.632455532033676,12.820845414240328,14.62
45,4600,12.632455532033676,12.812908877897707,14.62
46,4700,12.632455532033676,12.799487037265424,14.7
47,4800,12.632455532033676,12.79191460243371,14.72
48,4900,12.632455532033676,12.787217982098444,14.74
49,5000,12.632455532033676,12.777069071478122,14.83
50,5100,12.632455532033676,12.768665928018503,14.85
51,5200,12.632455532033676,12.7637626903198,14.84
52,5300,12.632455532033676,12.75727924552567,14.89
53,5400,12.632455532033676,12.750881599013974,14.88
54,5500,12.632455532033676,12.744065950076365,14.86
55,5600,12.632455532033676,12.7350812530336,14.86
56,5700,12.632455532033676,12.73155291055628,14.84
57,5800,12.632455532033676,12.7292292375769,14.84
58,5900,12.632455532033676,12.725386444336657,14.85
59,6000,12.632455532033676,12.721100984495763,14.86
60,6100,12.632455532033676,12.715504876617874,14.85
61,6200,12.632455532033676,12.710953136119494,14.86
62,6300,12.632455532033676,12.705117645333399,14.85
63,6400,12.544948974278318,12.698924302236522,14.84
64,6500,12.544948974278318,12.697587774483535,14.84
65,6600,12.544948974278318,12.691081429368834,14.82
66,6700,12.544948974278318,12.689476833997107,14.82
67,6800,12.544948974278318,12.689012155750966,14.83
68,6900,12.544948974278318,12.686798822747715,14.88
69,7000,12.544948974278318,12.686431735615374,14.87
70,7100,12.544948974278318,12.685429493731945,14.85
71,7200,12.544948974278318,12.68479433898086,14.84
72,7300,12.544948974278318,12.682413256036375,14.84
73,7400,12.544948974278318,12.680328192412368,14.84
74,7500,12.544948974278318,12.679017592981618,14.84
75,7600,12.544948974278318,12.678015351098184,14.82
76,7700,12.544948974278318,12.6772670516454,14.82
77,7800,12.544948974278318,12.676928955435088,14.84
78,7900,12.544948974278318,12.675239222124498,14.9
79,8000,12.544948974278318,12.673550236554863,14.93
80,8100,12.544948974278318,12.669098326681096,14.95
81,8200,12.544948974278318,12.664447543650402,14.92
82,8300,12.544948974278318,12.661546891774815,14.91
83,8400,12.544948974278318,12.657771174321672,14.89
84,8500,12.544948974278318,12.653995456868534,14.87
85,8600,12.544948974278318,12.652613994716472,14.86
86,8700,12.544948974278318,12.650401580669563,14.84
87,8800,12.544948974278318,12.643862938912298,14.8
88,8900,12.544948974278318,12.642481476760235,14.79
89,9000,12.544948974278318,12.637043855517405,14.75
90,9100,12.544948974278318,12.632899469061217,14.72
91,9200,12.544948974278318,12.631518006909154,14.71
92,9300,12.544948974278318,12.626360827303952,14.68
93,9400,12.544948974278318,12.622585109850808,14.66
94,9500,12.544948974278318,12.62157231670179,14.66
95,9600,12.544948974278318,12.616415137096588,14.63
96,9700,12.299999999999999,12.60815935710793,14.58
97,9800,12.299999999999999,12.607328405213082,14.57
98,9900,12.299999999999999,12.604103198017159,14.55
99,10000,12.299999999999999,12.5980709528344,14.51
100,10100,12.299999999999999,12.593926566378213,14.48
