generation,evaluations,best_fitness,mean_fitness,mean_modules
1,200,15.534387974463899,19.43175267905424,17.98
2,300,15.10665927567458,18.08298938524149,14.33
3,400,15.10665927567458,17.129971141500064,11.86
4,500,15.05329983228432,16.577010341584888,10.58
5,600,14.845207879911715,16.448381375724136,9.78
6,700,14.720897306865446,16.396988135002747,9.09
7,800,14.435415650406263,16.352076181791016,8.55
8,900,14.435415650406263,16.41460147262262,9.29
9,1000,14.435415650406263,16.524287433340497,10.19
10,1100,14.435415650406263,16.241436024921715,9.7
11,1200,14.435415650406263,16.295678712973597,9.71
12,1300,14.254065922853801,16.303918760235234,10.04
13,1400,14.254065922853801,16.34213209351086,10.27
14,1500,14.254065922853801,16.319406341128452,10.81
15,1600,13.958703314492292,16.094689802207682,10.19
16,1700,13.958703314492292,16.144014335374504,10.16
17,1800,13.958703314492292,16.19964325136465,10.15
18,1900,13.958703314492292,16.260520735952433,9.87
19,2000,13.6131126469709,16.151654368563637,10.71
20,2100,13.461324772583616,15.89615017855757,10.21
21,2200,13.461324772583616,15.91929844157703,9.78
22,2300,13.461324772583616,15.98720233047393,9.73
23,2400,13.461324772583616,16.16210503889033,9.37
24,2500,13.461324772583616,16.335552935003655,9.87
25,2600,13.461324772583616,16.47839850215179,8.07
26,2700,13.461324772583616,16.560357425756433,8.4
27,2800,13.135270009440731,16.484614107782033,8.31
28,2900,13.135270009440731,16.20456941512802,9.18
29,3000,13.135270009440731,16.10346841144529,9.31
30,3100,13.135270009440731,15.985868815168113,9.44
31,3200,13.135270009440731,16.106057780039215,9.35
32,3300,13.135270009440731,15.729664496886079,9.84
33,3400,13.135270009440731,15.913467972333601,9.53
34,3500,13.135270009440731,15.62768805500949,9.94
35,3600,13.135270009440731,15.851820596494779,10.07
36,3700,13.135270009440731,15.840965944979352,10.51
37,3800,13.135270009440731,16.04523156652666,9.37
38,3900,13.135270009440731,15.776283291752225,10.43
39,4000,13.135270009440731,15.883574195035925,9.87
40,4100,13.135270009440731,15.706334806214013,10.38
41,4200,13.135270009440731,15.577823111408684,10.39
42,4300,13.135270009440731,15.755892278218209,10.58
43,4400,13.135270009440731,15.320793764275697,11.02
44,4500,13.135270009440731,15.409926692728089,10.97
45,4600,13.135270009440731,15.527535847461806,9.93
46,4700,13.135270009440731,15.616868490910104,9.75
47,4800,13.135270009440731,15.717341098831382,11.02
48,4900,13.096662954709576,15.67253490554822,10.71
49,5000,13.096662954709576,15.63119283863182,10.96
50,5100,13.096662954709576,16.026193050368477,9.83
51,5200,13.096662954709576,16.184324431359506,10.02
52,5300,13.096662954709576,15.849938250343468,9.8
53,5400,13.096662954709576,15.92521221971319,9.84
54,5500,13.096662954709576,15.766016694499601,10.23
55,5600,13.096662954709576,15.391745213243604,10.97
56,5700,13.096662954709576,15.693510442849506,10.5
57,5800,13.096662954709576,15.759910745718225,9.87
58,5900,13.096662954709576,15.981617030073215,9.59
59,6000,13.096662954709576,16.16090506340133,9.14
60,6100,13.096662954709576,15.877693059850555,10.15
61,6200,13.096662954709576,15.944447556614772,9.56
62,6300,13.096662954709576,15.966682581850096,9.07
63,6400,13.096662954709576,15.712311974921802,9.01
64,6500,13.096662954709576,15.55220899105829,9.45
65,6600,13.096662954709576,15.479238860762626,10.34
66,6700,13.096662954709576,15.350163286887671,10.71
67,6800,13.096662954709576,15.707312383737394,10.18
68,6900,13.096662954709576,15.921838992851226,10.18
69,7000,13.096662954709576,15.992765349201614,10.07
70,7100,13.096662954709576,15.931754560156868,9.38
71,7200,13.096662954709576,16.04352201145617,9.49
72,7300,13.081138830084189,15.950272904616572,9.38
73,7400,13.081138830084189,15.953217866862134,8.88
74,7500,13.081138830084189,15.986227853265932,8.43
75,7600,13.081138830084189,15.755961345962328,9.12
76,7700,13.081138830084189,15.555783517337339,9.81
77,7800,13.081138830084189,15.718482222793526,9.47
78,7900,13.081138830084189,15.997059400349086,9.25
79,8000,13.081138830084189,15.866828447960513,9.21
80,8100,13.081138830084189,15.704000982351916,9.09
81,8200,13.081138830084189,15.89531652853446,9.05
82,8300,13.081138830084189,16.127276290907858,7.97
83,8400,13.081138830084189,15.965429761754757,8.54
84,8500,13.081138830084189,15.650337286948004,9.64
85,8600,13.081138830084189,15.667532256442405,9.39
86,8700,13.081138830084189,15.468986623561575,9.91
87,8800,13.081138830084189,15.385622884285524,10.42
88,8900,13.081138830084189,15.56117108217693,10.29
89,9000,13.081138830084189,15.769786438216173,10.42
90,9100,13.081138830084189,15.387098083503158,10.78
91,9200,13.081138830084189,15.79919625172007,9.92
92,9300,13.081138830084189,15.96628577646889,9.69
93,9400,13.081138830084189,16.092530779619857,8.75
94,9500,13.081138830084189,16.18305682116314,7.89
95,9600,13.081138830084189,16.017220578084572,8.51
96,9700,13.081138830084189,15.938512182849948,8.87
97,9800,13.081138830084189,15.646443858987158,9.69
98,9900,13.081138830084189,15.660127600194448,10.24
99,10000,13.081138830084189,15.668212359912989,10.28
100,10100,13.081138830084189,16.149402928088193,9.01
