generation,evaluations,mean_parent_fitness
1,100,20.59448287489564
2,200,19.11602510751428
3,300,17.164631724614534
4,400,16.489021608088912
5,500,16.146501338455064
6,600,16.202053535034505
7,700,16.005159282737377
8,800,16.083707906387797
9,900,16.218987480026776
10,1000,16.050154163576345
11,1100,16.007020593118902
12,1200,15.908630743970065
13,1300,15.961777112110605
14,1400,15.942173747472939
15,1500,15.718313641967887
16,1600,15.40164009466125
17,1700,15.932919185189343
18,1800,15.794602009577048
19,1900,15.6401532158838
20,2000,15.544801240298904
21,2100,15.60307585988133
22,2200,15.554265206814321
23,2300,15.68684431637551
24,2400,16.12863130779852
25,2500,15.938142524418126
26,2600,16.308178116996448
27,2700,16.238112033918675
28,2800,15.996482826947169
29,2900,15.812726273012652
30,3000,15.696461699597402
31,3100,15.468648905933637
32,3200,15.135873361764595
33,3300,15.315202085258207
34,3400,15.193427581517103
35,3500,15.458363690493181
36,3600,15.426182927569812
37,3700,15.550682447186713
38,3800,15.499254046952217
39,3900,15.363850283798168
40,4000,15.377896157093929
41,4100,15.0165137075771
42,4200,15.292979593288944
43,4300,14.78467769747177
44,4400,14.968863101967202
45,4500,14.983400925126611
46,4600,14.985423175134471
47,4700,15.016656834076418
48,4800,15.186329514494565
49,4900,15.04405259154044
50,5000,15.500806388992341
51,5100,16.00005829152435
52,5200,15.506683035637053
53,5300,15.681984978329748
54,5400,15.192972274483495
55,5500,14.991680478355283
56,5600,15.223935101850424
57,5700,15.2343252125127
58,5800,15.30322260655014
59,5900,15.57871475228915
60,6000,15.525144976651239
61,6100,15.29662927161956
62,6200,15.468991555853503
63,6300,15.253549017413096
64,6400,15.11713248866246
65,6500,14.955716839581891
66,6600,15.088974954923694
67,6700,15.255837586802471
68,6800,15.54504193011912
69,6900,15.550259520671924
70,7000,15.505793295839728
71,7100,15.567197268594265
72,7200,15.67312022786559
73,7300,15.704601194809772
74,7400,15.589491383029102
75,7500,15.13048288315412
76,7600,15.094464877583883
77,7700,15.037291051757094
78,7800,15.47440963405216
79,7900,15.500329270413019
80,8000,15.257434704240373
81,8100,15.397556128906317
82,8200,15.594018754576098
83,8300,15.671061919902604
84,8400,15.067195250447762
85,8500,15.052443646380036
86,8600,14.973329478995046
87,8700,14.675590349681155
88,8800,14.938165071353618
89,8900,15.34244691239617
90,9000,14.994935264755593
91,9100,15.0594401846654
92,9200,15.397162364994099
93,9300,15.567461015408188
94,9400,15.821078375935304
95,9500,15.677891682871135
96,9600,15.45261226263085
97,9700,15.23812429798402
98,9800,15.14009478522973
99,9900,15.126822541454038
100,10000,15.548081102755967
